url,verno,whisper,t5_corrected,finetuned_corrected,whisper_medium
http://storage.mds.yandex.net:80/get-voicetoloka/1872575/197f271b-b23f-4ee0-b240-e956a172d7af,жизнь других, Жизнь других.,Жизнь других.,жизнь других,Жизнь других
http://storage.mds.yandex.net:80/get-voicetoloka/1879367/3d8c8d43-f7f2-479b-a857-c90faa5e2faf,элтон джон, Аутам Джон.,Аутам Джон.,аутсайдер,А вот и он.
http://storage.mds.yandex.net:80/get-voicetoloka/1872575/45161c4c-3f2c-4638-940e-a69404074ebb,побег из шоушенка, Побег из Шаушенко.,Побег из Шаушенко.,побег из Шаушенко,Побег из Шаушенка
http://storage.mds.yandex.net:80/get-voicetoloka/2021744/6385560c-7068-45c2-9ba7-9e061249e0a4,мухаммед али, Мохаммед Али,Мохамед Али,Мохаммед Али,Мохаммед Али
http://storage.mds.yandex.net:80/get-voicetoloka/2021744/c4f3178c-14b2-44f8-b36e-f34a47520e10,дневник памяти, Дневник памяти.,Дневник памяти.,дневник памяти,Дневник памяти.
http://storage.mds.yandex.net:80/get-voicetoloka/1872575/0f2ef6c9-3dec-45ae-b456-8115c9419044,рэйф файнс, Ralf finds.,Ralf Finds.,Ralf finds,dummy originally
http://storage.mds.yandex.net:80/get-voicetoloka/1872575/4711cdac-8181-4f3c-8889-77cf408f3ff2,нефть, Непть.,Не пить.,пить,Нефть
http://storage.mds.yandex.net:80/get-voicetoloka/2021744/37e917e1-1fdf-4064-a74f-57a84bcb28b9,золотая лихорадка, Золотая лихорадка.,Золотая лихорадка.,золотая лихорадка,Золотая лихорадка.
http://storage.mds.yandex.net:80/get-voicetoloka/2021744/d203c652-509b-4c41-bdaf-f374e1c3c87e,служебный роман, Служебный реман,Служебный роман,служебный роман,Служебный роман
http://storage.mds.yandex.net:80/get-voicetoloka/1872575/c53908cc-adb1-418b-b68b-f67094fc4afd,браден адамс, Брайан Адамс,Брайан Адамс,Брайан Адамс,Брайан Адмс
http://storage.mds.yandex.net:80/get-voicetoloka/1879367/a6bab1dc-059b-4f93-a2ec-baef363ddcea,унесенные ветром, унесенные ветром,Унесенные ветром.,унесенные ветром,Унесенные ветром.
http://storage.mds.yandex.net:80/get-voicetoloka/1872575/dc7eedda-8db3-4ea5-abcd-d8ecb9fec734,бренда ли, Брэнда Ли,Брэнда Ли,Брэд Ли,Брэнда Ли
http://storage.mds.yandex.net:80/get-voicetoloka/1872575/29c0f7f4-9701-4e19-a4cd-874ec5397be1,эффект бабочки, Эффект бабочки.,Эффект бабочки.,эффект бабочки,эффект бабочки
http://storage.mds.yandex.net:80/get-voicetoloka/1872575/fcceeeb4-5bb7-460a-853c-99c3c7bd5aef,андрей сахаров, Андрей Сахаров,Андрей Сахаров,Андрей Сахаров,Андрей Сахаров
http://storage.mds.yandex.net:80/get-voicetoloka/2021744/969c8460-29a8-4c6a-ac71-bc729a6d1f3d,криминальное чтиво, Криминальная чтива.,Криминальная книга.,криминальная репутация,Криминальная чтива.
http://storage.mds.yandex.net:80/get-voicetoloka/1872575/22d8f014-0f11-447a-8133-fe1fb89c3e29,зелная книга, Зеленая книга.,Зеленая книга.,зеленая книга,Зеленая книга.
http://storage.mds.yandex.net:80/get-voicetoloka/1879367/2a6d78d6-5b79-4ec1-bd9b-29b59c1960c1,дэнни трехо, Дай не трехо.,Дай не трех.,дай мне три,Дай мне треху!
http://storage.mds.yandex.net:80/get-voicetoloka/1872575/51c8ac21-4179-4590-9c62-de34065cbaeb,билл найи, Бил на и,Бил на и.,бил на и,Билл Найи
http://storage.mds.yandex.net:80/get-voicetoloka/1879367/08890a89-c3df-4e4a-b4ac-169a347791cc,бабель исаак эммануилович," Бабель Исаак, Эммануи Лавич.","Бабель Исаак, Эммануэль Лавич.","Бабель Исаак, Эммануэль Лавич",Бибель Исаак Эммануилович
http://storage.mds.yandex.net:80/get-voicetoloka/1879367/c5a115d7-015f-421c-94ce-ed9928151491,аристотель, Аристотель.,Аристотель.,архитектор,Аристотель
http://storage.mds.yandex.net:80/get-voicetoloka/1872575/ab7118eb-d4fc-419e-bf99-b01b3886d09a,крашенинников степан петрович, Крошенинников Степан Петрович,Крошенинников Степан Петрович,бедняк Степан Петрович,Крышенинников Степан Петрович
http://storage.mds.yandex.net:80/get-voicetoloka/1872575/df8e6c78-0227-435c-92d0-b884bd61c91f,шон бин, Шон Бин,Шон Бин,Шон Бин,Sean Bean
http://storage.mds.yandex.net:80/get-voicetoloka/1872575/2e069c1d-11ba-4a51-84b1-f182b8a2999a,олеша юрий карлович, Олеша Юрий Карлович,Олеша Юрий Карлович,Олеша Юрий Карлович,Олеша Юрий Карлович
http://storage.mds.yandex.net:80/get-voicetoloka/1872575/d5bd3785-733a-4a95-b3ba-4d80ece002ee,однажды в америке, Однажды в Америке,Однажды в Америке.,однажды в Америке,Однажды в Америке
http://storage.mds.yandex.net:80/get-voicetoloka/2021744/0a1ff945-8476-4f17-a579-8780800592fd,огни большого города, Огни большого города.,Огни большого города.,огни большого города,Огни Большого Города
http://storage.mds.yandex.net:80/get-voicetoloka/1872575/2de4d7fe-2bca-4bff-98be-9fd22bc58919,семь самураев, 7 самураев,7 самураев,семь самураев,Семь самураев.
http://storage.mds.yandex.net:80/get-voicetoloka/1872575/6b061312-1923-4924-97de-21e31d6f5861,синявский андрей донатович, Синявский Андрей Донатович,Синявский Андрей Донатович,Синявский Андрей Анатольевич,Синявский Андрей Донатович
http://storage.mds.yandex.net:80/get-voicetoloka/1872575/373c13d2-0039-4ca1-a549-1563d2a8ef0a,крестный отец два, Крестный отец 2,Крестный отец 2,крестный отец 2,Крестный отец 2
